chinese,china,korean,korea,japanese,japan,orient,dynasty,asian,asia,year
5,1,0,0,0,2,323,0,444,444,1998
14,2,0,0,1,4,1,0,0,0,1999
284,2,0,0,1,2,260,0,478,478,2000
112,1,0,0,13,13,4,1,609,609,2001
3,6,0,0,0,0,0,0,0,0,2002
0,0,0,0,0,1,0,0,0,0,2003
401,0,0,0,2,2,115,0,66,66,2004
296,0,0,0,1,2,0,0,210,212,2005
163,0,1,1,9,11,0,4,878,878,2006
13,1,0,0,48,50,0,0,708,708,2007
22,1,0,0,9,15,0,0,103,106,2008
80,0,0,0,6,10,0,0,126,126,2009
565,0,0,0,15,17,1,0,4,4,2010
412,0,0,0,9,14,0,0,1,2,2011
37,0,0,0,2,5,577,0,0,0,2012
617,0,1,1,5,6,163,0,81,81,2013
44,0,0,0,3,5,147,0,1,1,2014
295,0,5,5,15,16,0,0,475,475,2015
291,0,0,0,1,1,0,0,54,54,2016
221,0,0,0,1,85,238,0,0,0,2017
102,109,0,3,1,9,159,0,0,55,2018
80,165,0,0,75,94,0,0,0,0,2019
238,131,0,0,1,1,0,0,0,240,2020
------------------------------
0,0,0,0,0,0,322,0,439,439,1998
233,130,0,0,0,0,0,0,0,240,2020
0,0,0,0,0,0,322,0,439,439,1998
0,0,0,0,0,0,0,0,439,439,1998
