chinese,china,korean,korea,japanese,japan,orient,dynasty,asian,asia,year
1574,484,7,7,1968,1968,7938,0,1367,1759,1998
1590,127,235,235,1323,1323,5748,0,1691,2373,1999
1406,916,322,322,1209,1209,2845,0,1991,1991,2000
3266,1210,423,1246,1603,1603,820,0,4295,5309,2001
2701,0,159,159,1244,1244,852,0,2640,2640,2002
2410,0,465,465,1369,1369,886,0,2615,2615,2003
2681,0,0,0,633,633,579,0,2417,2417,2004
2149,0,410,410,1239,1239,867,0,2085,2268,2005
2879,74,0,0,1486,1486,774,0,2924,2998,2006
1940,0,284,284,903,903,1471,0,2554,2634,2007
2758,22,496,496,1271,1271,376,0,1713,1713,2008
2293,0,204,204,293,293,597,0,912,912,2009
1947,0,104,104,104,104,1146,0,895,895,2010
2381,253,106,106,243,407,387,17,684,684,2017
2844,531,150,150,289,370,448,0,665,832,2018
2935,6,228,228,457,457,691,0,1081,1081,2011
1437,0,116,116,116,116,1085,0,603,603,2012
3559,0,374,374,815,815,486,0,1651,1651,2013
4280,0,258,258,226,226,413,337,1340,1432,2014
4645,0,106,106,241,255,178,0,1842,1944,2015
3043,0,130,130,146,253,262,0,605,605,2016
3367,253,106,106,338,590,481,17,1157,1157,2017
2844,531,150,150,289,370,448,0,665,832,2018
2635,822,132,132,206,281,401,0,634,884,2019
1558,580,245,245,443,443,291,0,851,1191,2020
